English,Russian
you,ты
i,я
to,к
it,Это
and,и
that,который
of,из
is,является
in,в
what,Какие
we,мы
me,мне
this,это
he,он
for,за
my,мой
on,на
have,имеют
your,ваш
do,делать
was,был
no,нет
not,нет
be,быть
are,находятся
don,Дон
know,знать
can,может
with,с
but,но
all,все
so,так
just,только
there,там
here,здесь
they,Oни
like,подобно
get,получать
she,она
go,идти
if,если
right,верно
out,из
about,о
up,вверх
at,в
him,ему
now,сейчас же
oh,ой
one,один
come,приехать
well,Что ж
her,ее
how,как
yeah,Да
will,буду
got,получил
want,хотеть
think,считать
as,в качестве
see,видеть
did,сделал
good,хороший
who,ВОЗ
why,Почему
from,из
let,позволять
his,его
yes,да
when,когда
going,собирается
time,время
an,
okay,Ладно
back,назад
look,Смотреть
us,нас
would,бы
them,их
where,куда
were,мы
take,брать
then,тогда
had,имел
or,или же
been,был
our,наш
gonna,собираюсь
tell,рассказать
really,В самом деле
man,человек
some,немного
say,сказать
hey,Привет
could,мог
didn,А не было
by,к
need,необходимость
something,что нибудь
has,имеет
too,тоже
more,более
way,путь
down,вниз
make,делать
very,очень
never,никогда
only,Только
people,люди
over,над
because,потому что
little,маленький
please,пожалуйста
love,люблю
should,должен
mean,иметь в виду
said,сказал
sorry,Извините
give,дайте
off,выключенный
am,являюсь
thank,благодарить
any,любой
two,два
even,четное
much,много
doing,делает
sure,Конечно
thing,вещь
these,эти
help,помощь
first,первый
into,в
anything,что-либо
still,Все еще
find,найти
life,жизнь
nothing,ничего
sir,сэр
day,день
god,Бог
work,работай
their,их
uh,Эм-м-м
again,опять таки
maybe,может быть
must,должен
before,перед
other,Другой
wait,ждать
stop,остановка
call,вызов
after,после
won,выиграл
talk,разговаривать
away,прочь
than,чем
thought,мысль
home,дома
night,ночь
put,положить
great,здорово
those,те
last,последний
better,лучше
everything,все
told,сказал
mr.,Мистер.
new,новый
things,вещи
always,всегда
keep,держать
long,длинный
years,годы
leave,покинуть
does,делает
money,Деньги
around,вокруг
doesn,Безразлично
name,имя
place,место
ever,Когда-либо
feel,Чувствовать
guys,ребята
father,отец
guy,парень
made,сделали
old,Старый
isn,ISN
which,который
big,большой
lot,много
done,сделано
hello,Привет
nice,отлично
believe,полагать
girl,девочка
someone,кто-то
fine,отлично
thanks,Благодарность
wanted,в розыске
kind,своего рода
coming,приходящий
house,жилой дом
every,каждый
ok,Ok
through,через
being,существование
course,курс
stay,оставаться
left,оставили
dad,папа
enough,довольно
happened,получилось
came,пришел
may,май
mother,мать
wrong,неправильный
world,Мир
bad,Плохо
might,мог бы
three,три
today,сегодня
listen,Слушать
another,еще один
understand,понимать
hear,слышать
remember,Помните
ask,просить
own,собственный
same,одно и тоже
show,Показать
else,еще
kill,убийство
talking,говорящий
found,найденный
next,следующий
getting,получающий
care,забота
car,машина
looking,смотрящий
son,сын
try,пытаться
woman,женщина
went,шел
hi,Здравствуй
dead,мертвых
many,много
mind,разум
friend,друг
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,вместе
yourself,себя
job,работа
saw,увидел
family,семья
real,настоящий
without,без
baby,детка
room,комната
wouldn,Wouldn
already,уже
move,двигаться
most,наиболее
seen,видимый
live,жить
miss,скучать
actually,фактически
huh,Хм
shit,дерьмо
both,обе
heard,слышал
once,однажды
ready,готовы
head,голова
called,называется
used,использовал
idea,идея
knew,знал
hold,держать
happy,счастливый
door,дверь
such,такой
fuck,Блядь
brother,брат
also,также
pretty,симпатичный
bit,кусочек
took,взял
haven,убежище
yet,пока что
men,люди
whole,весь
start,Начните
use,использовать
while,пока
since,поскольку
wife,жена
days,дней
guess,Угадай
tomorrow,завтра
matter,иметь значение
meet,встретить
bring,приносить
tonight,сегодня вечером
everyone,каждый
run,пробег
wanna,хочу
hard,жесткий
ah,ах
alone,один
myself,себя
school,школа
gone,ушел
um,гм
end,конец
saying,поговорка
phone,Телефон
play,играть в
looks,выглядит
couldn,не мог
fucking,чертов
problem,проблема
few,несколько
friends,друзья
gotta,должен
ago,назад
open,открыто
anyone,кто угодно
killed,убитый
hope,надеяться
face,лицо
until,до того как
lost,потерял
police,полиция
excuse,извинение
turn,повернуть
business,бизнес
case,дело
wants,желания
says,говорит
die,умереть
heart,сердце
soon,скоро
each,каждый
worry,волноваться
later,потом
year,год
watch,смотреть
music,Музыка
hand,рука
having,имеющий
probably,наверное
beautiful,красивая
doctor,врач
sit,сидеть
eat,есть
thinking,мышление
young,молодой
second,второй
working,работающий
water,воды
person,человек
part,часть
kids,Дети
late,поздно
stuff,вещи
exactly,точно
under,под
death,смерть
minute,минут
pay,платить
crazy,псих
forget,забывать
everybody,все
kid,дитя
change,изменять
gave,дал
happen,случаться
damn,проклятие
five,пять
drink,напиток
far,далеко
knows,знает